Run,MY1,Mchi,Omegah2,xsi,x_f,sigmav_xf
320,40.03,579.42,1e-06,8e-06,34.0,0.0
321,40.03,578.21,1e-06,8e-06,34.0,0.0
322,40.03,575.93,1e-06,8e-06,34.0,0.0
323,40.03,575.76,1e-06,8e-06,34.0,0.0
324,40.03,573.33,1e-06,9e-06,34.0,0.0
325,40.03,572.43,1e-06,9e-06,34.0,0.0
326,40.03,571.02,1e-06,9e-06,34.0,0.0
327,40.03,568.94,1e-06,9e-06,34.0,0.0
328,40.03,568.87,1e-06,9e-06,34.0,0.0
329,40.03,567.35,1e-06,9e-06,34.0,0.0
330,40.03,565.86,1e-06,9e-06,34.0,0.0
331,40.03,565.44,1e-06,9e-06,34.0,0.0
332,40.03,564.37,1e-06,9e-06,34.0,0.0
333,40.03,562.88,1e-06,9e-06,34.0,0.0
334,40.03,561.95,1e-06,9e-06,34.0,0.0
335,40.03,558.45,1e-06,9e-06,34.0,0.0
336,40.03,557.76,1e-06,9e-06,34.0,0.0
337,40.03,554.96,1e-06,9e-06,34.0,0.0
338,40.03,551.46,1e-06,9e-06,34.0,0.0
339,40.03,549.1,1e-06,9e-06,34.0,0.0
340,40.03,547.97,1e-06,9e-06,34.0,0.0
341,40.03,544.47,1e-06,9e-06,34.0,0.0
342,40.03,540.98,1e-06,9e-06,34.0,0.0
343,40.03,537.48,1e-06,9e-06,34.0,0.0
344,40.03,533.99,1e-06,9e-06,34.0,0.0
345,40.03,531.44,1e-06,9e-06,34.0,0.0
346,40.03,530.49,1e-06,9e-06,34.0,0.0
347,40.03,527.0,1e-06,9e-06,34.0,0.0
348,40.03,523.5,1e-06,9e-06,34.0,0.0
349,40.03,453.6,1e-06,1e-05,34.0,0.0
350,40.03,451.25,1e-06,1e-05,34.0,0.0
351,40.03,450.11,1e-06,1e-05,34.0,0.0
352,40.03,446.61,1e-06,1e-05,34.0,0.0
353,40.03,443.12,1e-06,1.1e-05,34.0,0.0
354,40.03,299.82,2e-06,1.4e-05,33.0,0.0
355,40.03,264.87,2e-06,1.6e-05,33.0,0.0
356,40.03,121.58,3.4e-05,0.000285,29.0,0.0
357,40.03,2.7475,0.0135,0.113,20.0,0.0
358,49.084,72.91,0.000104,0.000871,28.0,0.0
359,49.084,76.142,0.000102,0.000852,28.0,0.0
360,49.084,77.744,0.000101,0.000843,28.0,0.0
361,49.084,79.637,0.0001,0.000833,28.0,0.0
362,49.084,81.93,9.8e-05,0.00082,28.0,0.0
363,49.084,83.132,9.8e-05,0.000813,28.0,0.0
364,49.084,86.627,9.5e-05,0.000792,28.0,0.0
365,49.084,90.122,9.2e-05,0.000771,28.0,0.0
366,49.084,92.493,9.1e-05,0.000756,28.0,0.0
367,49.084,93.617,9e-05,0.000749,28.0,0.0
368,49.084,97.112,8.7e-05,0.000726,28.0,0.0
369,49.084,98.772,8.6e-05,0.000715,28.0,0.0
370,49.084,100.61,8.4e-05,0.000703,28.0,0.0
371,49.084,102.06,8.3e-05,0.000693,28.0,0.0
372,49.084,104.1,8.2e-05,0.000679,28.0,0.0
